/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=322, Training Error=-292.719, Testing Error=246.326
Generation=323, Training Error=-292.570, Testing Error=246.377
Generation=324, Training Error=-292.421, Testing Error=246.428
Generation=325, Training Error=-292.270, Testing Error=246.480
Generation=326, Training Error=-292.119, Testing Error=246.531
Generation=327, Training Error=-291.967, Testing Error=246.582
Generation=328, Training Error=-291.815, Testing Error=246.633
Generation=329, Training Error=-291.661, Testing Error=246.684
Generation=330, Training Error=-291.507, Testing Error=246.735
Generation=331, Training Error=-291.352, Testing Error=246.786
Generation=332, Training Error=-291.196, Testing Error=246.837
Generation=333, Training Error=-291.039, Testing Error=246.888
Generation=334, Training Error=-290.881, Testing Error=246.938
Generation=335, Training Error=-290.723, Testing Error=246.989
Generation=336, Training Error=-290.564, Testing Error=247.040
Generation=337, Training Error=-290.404, Testing Error=247.091
Generation=338, Training Error=-290.243, Testing Error=247.141
Generation=339, Training Error=-290.082, Testing Error=247.192
Generation=340, Training Error=-289.920, Testing Error=247.242
Generation=341, Training Error=-289.756, Testing Error=247.293
Generation=342, Training Error=-289.593, Testing Error=247.343
Generation=343, Training Error=-289.428, Testing Error=247.394
Generation=344, Training Error=-289.262, Testing Error=247.444
Generation=345, Training Error=-289.096, Testing Error=247.495
Generation=346, Training Error=-288.929, Testing Error=247.545
Generation=347, Training Error=-288.761, Testing Error=247.595
Generation=348, Training Error=-288.592, Testing Error=247.645
Generation=349, Training Error=-288.423, Testing Error=247.695
Generation=350, Training Error=-288.252, Testing Error=247.746
Generation=351, Training Error=-288.081, Testing Error=247.796
Generation=352, Training Error=-287.909, Testing Error=247.846
Generation=353, Training Error=-287.737, Testing Error=247.896
Generation=354, Training Error=-287.563, Testing Error=247.946
Generation=355, Training Error=-287.389, Testing Error=247.995
Generation=356, Training Error=-287.214, Testing Error=248.045
Generation=357, Training Error=-287.038, Testing Error=248.095
Generation=358, Training Error=-286.861, Testing Error=248.145
Generation=359, Training Error=-286.684, Testing Error=248.194
Generation=360, Training Error=-286.505, Testing Error=248.244
Generation=361, Training Error=-286.326, Testing Error=248.294
Generation=362, Training Error=-286.146, Testing Error=248.343
Generation=363, Training Error=-285.966, Testing Error=248.393
Generation=364, Training Error=-285.784, Testing Error=248.442
Generation=365, Training Error=-285.602, Testing Error=248.492
Generation=366, Training Error=-285.419, Testing Error=248.541
Generation=367, Training Error=-285.235, Testing Error=248.590
