/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=219, Training Error=-0.648, Testing Error=174.501
Generation=220, Training Error=-0.654, Testing Error=174.498
Generation=221, Training Error=-0.661, Testing Error=174.496
Generation=222, Training Error=-0.668, Testing Error=174.493
Generation=223, Training Error=-0.674, Testing Error=174.490
Generation=224, Training Error=-0.681, Testing Error=174.487
Generation=225, Training Error=-0.688, Testing Error=174.484
Generation=226, Training Error=-0.695, Testing Error=174.482
Generation=227, Training Error=-0.702, Testing Error=174.479
Generation=228, Training Error=-0.709, Testing Error=174.476
Generation=229, Training Error=-0.716, Testing Error=174.473
Generation=230, Training Error=-0.724, Testing Error=174.470
Generation=231, Training Error=-0.731, Testing Error=174.467
Generation=232, Training Error=-0.739, Testing Error=174.464
Generation=233, Training Error=-0.746, Testing Error=174.461
Generation=234, Training Error=-0.754, Testing Error=174.457
Generation=235, Training Error=-0.761, Testing Error=174.454
Generation=236, Training Error=-0.769, Testing Error=174.451
Generation=237, Training Error=-0.777, Testing Error=174.448
Generation=238, Training Error=-0.785, Testing Error=174.444
Generation=239, Training Error=-0.793, Testing Error=174.441
Generation=240, Training Error=-0.801, Testing Error=174.438
Generation=241, Training Error=-0.810, Testing Error=174.434
Generation=242, Training Error=-0.818, Testing Error=174.431
Generation=243, Training Error=-0.827, Testing Error=174.427
Generation=244, Training Error=-0.835, Testing Error=174.424
Generation=245, Training Error=-0.844, Testing Error=174.420
Generation=246, Training Error=-0.853, Testing Error=174.416
Generation=247, Training Error=-0.861, Testing Error=174.413
Generation=248, Training Error=-0.870, Testing Error=174.409
Generation=249, Training Error=-0.879, Testing Error=174.405
Generation=250, Training Error=-0.889, Testing Error=174.401
Generation=251, Training Error=-0.898, Testing Error=174.397
Generation=252, Training Error=-0.907, Testing Error=174.393
Generation=253, Training Error=-0.917, Testing Error=174.389
Generation=254, Training Error=-0.926, Testing Error=174.385
Generation=255, Training Error=-0.936, Testing Error=174.381
Generation=256, Training Error=-0.946, Testing Error=174.377
Generation=257, Training Error=-0.955, Testing Error=174.373
Generation=258, Training Error=-0.965, Testing Error=174.369
Generation=259, Training Error=-0.976, Testing Error=174.365
Generation=260, Training Error=-0.986, Testing Error=174.360
Generation=261, Training Error=-0.996, Testing Error=174.356
Generation=262, Training Error=-1.007, Testing Error=174.351
Generation=263, Training Error=-1.017, Testing Error=174.347
Generation=264, Training Error=-1.028, Testing Error=174.342
Generation=265, Training Error=-1.038, Testing Error=174.338
Generation=266, Training Error=-1.049, Testing Error=174.333
Generation=267, Training Error=-1.060, Testing Error=174.329
Generation=268, Training Error=-1.071, Testing Error=174.324
Generation=269, Training Error=-1.083, Testing Error=174.319
Generation=270, Training Error=-1.094, Testing Error=174.314
Generation=271, Training Error=-1.105, Testing Error=174.309
Generation=272, Training Error=-1.117, Testing Error=174.304
Generation=273, Training Error=-1.129, Testing Error=174.299
Generation=274, Training Error=-1.140, Testing Error=174.294
Generation=275, Training Error=-1.152, Testing Error=174.289
Generation=276, Training Error=-1.164, Testing Error=174.284
Generation=277, Training Error=-1.176, Testing Error=174.278
Generation=278, Training Error=-1.189, Testing Error=174.273
Generation=279, Training Error=-1.201, Testing Error=174.268
Generation=280, Training Error=-1.214, Testing Error=174.262
Generation=281, Training Error=-1.226, Testing Error=174.257
Generation=282, Training Error=-1.239, Testing Error=174.251
Generation=283, Training Error=-1.252, Testing Error=174.245
Generation=284, Training Error=-1.265, Testing Error=174.240
Generation=285, Training Error=-1.278, Testing Error=174.234
Generation=286, Training Error=-1.291, Testing Error=174.228
Generation=287, Training Error=-1.304, Testing Error=174.222
Generation=288, Training Error=-1.317, Testing Error=174.216
Generation=289, Training Error=-1.331, Testing Error=174.210
Generation=290, Training Error=-1.345, Testing Error=174.204
Generation=291, Training Error=-1.358, Testing Error=174.198
Generation=292, Training Error=-1.372, Testing Error=174.191
Generation=293, Training Error=-1.386, Testing Error=174.185
Generation=294, Training Error=-1.400, Testing Error=174.179
Generation=295, Training Error=-1.414, Testing Error=174.172
Generation=296, Training Error=-1.429, Testing Error=174.166
Generation=297, Training Error=-1.443, Testing Error=174.159
Generation=298, Training Error=-1.457, Testing Error=174.152
Generation=299, Training Error=-1.472, Testing Error=174.146
Generation=300, Training Error=-1.487, Testing Error=174.139
Generation=301, Training Error=-1.501, Testing Error=174.132
Generation=302, Training Error=-1.516, Testing Error=174.125
Generation=303, Training Error=-1.531, Testing Error=174.118
Generation=304, Training Error=-1.546, Testing Error=174.111
Generation=305, Training Error=-1.561, Testing Error=174.104
Generation=306, Training Error=-1.576, Testing Error=174.097
Generation=307, Training Error=-1.592, Testing Error=174.089
