/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=179, Training Error=-90.223, Testing Error=11.385
Generation=180, Training Error=-89.137, Testing Error=11.240
Generation=181, Training Error=-88.063, Testing Error=11.096
Generation=182, Training Error=-87.003, Testing Error=10.954
Generation=183, Training Error=-85.954, Testing Error=10.814
Generation=184, Training Error=-84.919, Testing Error=10.676
Generation=185, Training Error=-83.895, Testing Error=10.539
Generation=186, Training Error=-82.884, Testing Error=10.403
Generation=187, Training Error=-81.885, Testing Error=10.270
Generation=188, Training Error=-80.898, Testing Error=10.138
Generation=189, Training Error=-79.922, Testing Error=10.007
Generation=190, Training Error=-78.958, Testing Error=9.878
Generation=191, Training Error=-78.006, Testing Error=9.751
Generation=192, Training Error=-77.064, Testing Error=9.625
Generation=193, Training Error=-76.134, Testing Error=9.500
Generation=194, Training Error=-75.215, Testing Error=9.377
Generation=195, Training Error=-74.307, Testing Error=9.256
Generation=196, Training Error=-73.410, Testing Error=9.136
Generation=197, Training Error=-72.523, Testing Error=9.017
Generation=198, Training Error=-71.647, Testing Error=8.900
Generation=199, Training Error=-70.782, Testing Error=8.784
Generation=200, Training Error=-69.926, Testing Error=8.669
Generation=201, Training Error=-69.081, Testing Error=8.556
Generation=202, Training Error=-68.246, Testing Error=8.445
Generation=203, Training Error=-67.421, Testing Error=8.334
Generation=204, Training Error=-66.605, Testing Error=8.225
Generation=205, Training Error=-65.800, Testing Error=8.117
Generation=206, Training Error=-65.004, Testing Error=8.011
Generation=207, Training Error=-64.217, Testing Error=7.905
Generation=208, Training Error=-63.440, Testing Error=7.801
Generation=209, Training Error=-62.672, Testing Error=7.699
Generation=210, Training Error=-61.913, Testing Error=7.597
Generation=211, Training Error=-61.163, Testing Error=7.497
Generation=212, Training Error=-60.422, Testing Error=7.398
Generation=213, Training Error=-59.690, Testing Error=7.300
Generation=214, Training Error=-58.966, Testing Error=7.203
Generation=215, Training Error=-58.251, Testing Error=7.107
Generation=216, Training Error=-57.545, Testing Error=7.013
Generation=217, Training Error=-56.847, Testing Error=6.919
Generation=218, Training Error=-56.157, Testing Error=6.827
Generation=219, Training Error=-55.476, Testing Error=6.736
Generation=220, Training Error=-54.803, Testing Error=6.646
Generation=221, Training Error=-54.137, Testing Error=6.557
Generation=222, Training Error=-53.480, Testing Error=6.469
Generation=223, Training Error=-52.830, Testing Error=6.382
Generation=224, Training Error=-52.188, Testing Error=6.296
Generation=225, Training Error=-51.554, Testing Error=6.211
Generation=226, Training Error=-50.927, Testing Error=6.127
Generation=227, Training Error=-50.308, Testing Error=6.044
