/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=226, Training Error=582.967, Testing Error=2257.574
Generation=227, Training Error=566.824, Testing Error=2259.819
Generation=228, Training Error=551.128, Testing Error=2262.001
Generation=229, Training Error=535.866, Testing Error=2264.124
Generation=230, Training Error=521.027, Testing Error=2266.187
Generation=231, Training Error=506.598, Testing Error=2268.193
Generation=232, Training Error=492.570, Testing Error=2270.143
Generation=233, Training Error=478.930, Testing Error=2272.040
Generation=234, Training Error=465.667, Testing Error=2273.884
Generation=235, Training Error=452.772, Testing Error=2275.677
Generation=236, Training Error=440.234, Testing Error=2277.420
Generation=237, Training Error=428.043, Testing Error=2279.115
Generation=238, Training Error=416.190, Testing Error=2280.764
Generation=239, Training Error=404.665, Testing Error=2282.366
Generation=240, Training Error=393.459, Testing Error=2283.924
Generation=241, Training Error=382.563, Testing Error=2285.439
Generation=242, Training Error=371.969, Testing Error=2286.912
Generation=243, Training Error=361.669, Testing Error=2288.344
Generation=244, Training Error=351.653, Testing Error=2289.737
Generation=245, Training Error=341.915, Testing Error=2291.091
Generation=246, Training Error=332.447, Testing Error=2292.407
Generation=247, Training Error=323.241, Testing Error=2293.687
Generation=248, Training Error=314.290, Testing Error=2294.932
Generation=249, Training Error=305.587, Testing Error=2296.142
Generation=250, Training Error=297.124, Testing Error=2297.319
Generation=251, Training Error=288.896, Testing Error=2298.463
Generation=252, Training Error=280.896, Testing Error=2299.575
Generation=253, Training Error=273.118, Testing Error=2300.657
Generation=254, Training Error=265.555, Testing Error=2301.708
Generation=255, Training Error=258.201, Testing Error=2302.731
Generation=256, Training Error=251.051, Testing Error=2303.725
Generation=257, Training Error=244.099, Testing Error=2304.691
Generation=258, Training Error=237.339, Testing Error=2305.631
Generation=259, Training Error=230.767, Testing Error=2306.545
Generation=260, Training Error=224.376, Testing Error=2307.434
Generation=261, Training Error=218.163, Testing Error=2308.298
Generation=262, Training Error=212.122, Testing Error=2309.138
Generation=263, Training Error=206.248, Testing Error=2309.954
Generation=264, Training Error=200.536, Testing Error=2310.748
Generation=265, Training Error=194.983, Testing Error=2311.521
Generation=266, Training Error=189.584, Testing Error=2312.271
Generation=267, Training Error=184.334, Testing Error=2313.001
Generation=268, Training Error=179.229, Testing Error=2313.711
Generation=269, Training Error=174.266, Testing Error=2314.401
Generation=270, Training Error=169.440, Testing Error=2315.072
Generation=271, Training Error=164.748, Testing Error=2315.725
Generation=272, Training Error=160.186, Testing Error=2316.359
Generation=273, Training Error=155.750, Testing Error=2316.976
Generation=274, Training Error=151.437, Testing Error=2317.575
Generation=275, Training Error=147.243, Testing Error=2318.158
Generation=276, Training Error=143.166, Testing Error=2318.725
Generation=277, Training Error=139.201, Testing Error=2319.277
Generation=278, Training Error=135.347, Testing Error=2319.813
Generation=279, Training Error=131.599, Testing Error=2320.334
Generation=280, Training Error=127.955, Testing Error=2320.840
Generation=281, Training Error=124.411, Testing Error=2321.333
Generation=282, Training Error=120.966, Testing Error=2321.812
Generation=283, Training Error=117.616, Testing Error=2322.278
Generation=284, Training Error=114.359, Testing Error=2322.731
Generation=285, Training Error=111.192, Testing Error=2323.171
Generation=286, Training Error=108.113, Testing Error=2323.599
Generation=287, Training Error=105.119, Testing Error=2324.015
Generation=288, Training Error=102.208, Testing Error=2324.420
Generation=289, Training Error=99.378, Testing Error=2324.814
Generation=290, Training Error=96.626, Testing Error=2325.196
Generation=291, Training Error=93.950, Testing Error=2325.568
Generation=292, Training Error=91.349, Testing Error=2325.930
Generation=293, Training Error=88.819, Testing Error=2326.282
Generation=294, Training Error=86.360, Testing Error=2326.624
Generation=295, Training Error=83.968, Testing Error=2326.956
Generation=296, Training Error=81.643, Testing Error=2327.280
Generation=297, Training Error=79.382, Testing Error=2327.594
Generation=298, Training Error=77.184, Testing Error=2327.900
Generation=299, Training Error=75.046, Testing Error=2328.197
Generation=300, Training Error=72.968, Testing Error=2328.486
Generation=301, Training Error=70.948, Testing Error=2328.767
Generation=302, Training Error=68.983, Testing Error=2329.040
Generation=303, Training Error=67.073, Testing Error=2329.306
Generation=304, Training Error=65.215, Testing Error=2329.564
Generation=305, Training Error=63.409, Testing Error=2329.815
Generation=306, Training Error=61.653, Testing Error=2330.059
Generation=307, Training Error=59.946, Testing Error=2330.296
Generation=308, Training Error=58.286, Testing Error=2330.527
Generation=309, Training Error=56.672, Testing Error=2330.752
Generation=310, Training Error=55.103, Testing Error=2330.970
Generation=311, Training Error=53.577, Testing Error=2331.182
Generation=312, Training Error=52.093, Testing Error=2331.388
Generation=313, Training Error=50.651, Testing Error=2331.589
Generation=314, Training Error=49.248, Testing Error=2331.784
Generation=315, Training Error=47.884, Testing Error=2331.974
Generation=316, Training Error=46.558, Testing Error=2332.158
Generation=317, Training Error=45.269, Testing Error=2332.337
Generation=318, Training Error=44.015, Testing Error=2332.511
Generation=319, Training Error=42.796, Testing Error=2332.681
Generation=320, Training Error=41.611, Testing Error=2332.846
Generation=321, Training Error=40.459, Testing Error=2333.006
Generation=322, Training Error=39.339, Testing Error=2333.162
Generation=323, Training Error=38.249, Testing Error=2333.313
Generation=324, Training Error=37.190, Testing Error=2333.460
Generation=325, Training Error=36.160, Testing Error=2333.604
Generation=326, Training Error=35.159, Testing Error=2333.743
Generation=327, Training Error=34.185, Testing Error=2333.878
Generation=328, Training Error=33.239, Testing Error=2334.010
Generation=329, Training Error=32.318, Testing Error=2334.138
Generation=330, Training Error=31.423, Testing Error=2334.262
Generation=331, Training Error=30.553, Testing Error=2334.383
Generation=332, Training Error=29.707, Testing Error=2334.501
Generation=333, Training Error=28.884, Testing Error=2334.615
Generation=334, Training Error=28.085, Testing Error=2334.727
Generation=335, Training Error=27.307, Testing Error=2334.835
Generation=336, Training Error=26.551, Testing Error=2334.940
Generation=337, Training Error=25.815, Testing Error=2335.042
Generation=338, Training Error=25.101, Testing Error=2335.141
Generation=339, Training Error=24.405, Testing Error=2335.238
Generation=340, Training Error=23.730, Testing Error=2335.332
Generation=341, Training Error=23.072, Testing Error=2335.423
Generation=342, Training Error=22.434, Testing Error=2335.512
Generation=343, Training Error=21.812, Testing Error=2335.599
Generation=344, Training Error=21.208, Testing Error=2335.683
Generation=345, Training Error=20.621, Testing Error=2335.764
Generation=346, Training Error=20.050, Testing Error=2335.844
Generation=347, Training Error=19.495, Testing Error=2335.921
Generation=348, Training Error=18.955, Testing Error=2335.996
Generation=349, Training Error=18.430, Testing Error=2336.069
Generation=350, Training Error=17.920, Testing Error=2336.140
Generation=351, Training Error=17.423, Testing Error=2336.209
Generation=352, Training Error=16.941, Testing Error=2336.276
Generation=353, Training Error=16.472, Testing Error=2336.341
Generation=354, Training Error=16.016, Testing Error=2336.405
Generation=355, Training Error=15.572, Testing Error=2336.466
Generation=356, Training Error=15.141, Testing Error=2336.526
Generation=357, Training Error=14.722, Testing Error=2336.585
Generation=358, Training Error=14.314, Testing Error=2336.641
Generation=359, Training Error=13.918, Testing Error=2336.696
Generation=360, Training Error=13.532, Testing Error=2336.750
Generation=361, Training Error=13.157, Testing Error=2336.802
Generation=362, Training Error=12.793, Testing Error=2336.853
Generation=363, Training Error=12.439, Testing Error=2336.902
Generation=364, Training Error=12.094, Testing Error=2336.950
Generation=365, Training Error=11.759, Testing Error=2336.996
Generation=366, Training Error=11.434, Testing Error=2337.042
Generation=367, Training Error=11.117, Testing Error=2337.086
Generation=368, Training Error=10.809, Testing Error=2337.129
Generation=369, Training Error=10.510, Testing Error=2337.170
Generation=370, Training Error=10.219, Testing Error=2337.211
Generation=371, Training Error=9.936, Testing Error=2337.250
Generation=372, Training Error=9.661, Testing Error=2337.288
Generation=373, Training Error=9.393, Testing Error=2337.325
Generation=374, Training Error=9.133, Testing Error=2337.362
Generation=375, Training Error=8.880, Testing Error=2337.397
Generation=376, Training Error=8.634, Testing Error=2337.431
Generation=377, Training Error=8.395, Testing Error=2337.464
Generation=378, Training Error=8.163, Testing Error=2337.496
Generation=379, Training Error=7.937, Testing Error=2337.528
Generation=380, Training Error=7.717, Testing Error=2337.558
Generation=381, Training Error=7.503, Testing Error=2337.588
Generation=382, Training Error=7.295, Testing Error=2337.617
Generation=383, Training Error=7.093, Testing Error=2337.645
Generation=384, Training Error=6.897, Testing Error=2337.672
Generation=385, Training Error=6.706, Testing Error=2337.699
Generation=386, Training Error=6.520, Testing Error=2337.725
Generation=387, Training Error=6.340, Testing Error=2337.750
Generation=388, Training Error=6.164, Testing Error=2337.774
Generation=389, Training Error=5.994, Testing Error=2337.798
Generation=390, Training Error=5.828, Testing Error=2337.821
Generation=391, Training Error=5.666, Testing Error=2337.844
Generation=392, Training Error=5.509, Testing Error=2337.865
Generation=393, Training Error=5.357, Testing Error=2337.887
Generation=394, Training Error=5.208, Testing Error=2337.907
Generation=395, Training Error=5.064, Testing Error=2337.927
Generation=396, Training Error=4.924, Testing Error=2337.947
Generation=397, Training Error=4.788, Testing Error=2337.966
Generation=398, Training Error=4.655, Testing Error=2337.984
Generation=399, Training Error=4.526, Testing Error=2338.002
Generation=400, Training Error=4.401, Testing Error=2338.020
Generation=401, Training Error=4.279, Testing Error=2338.037
Generation=402, Training Error=4.160, Testing Error=2338.053
Generation=403, Training Error=4.045, Testing Error=2338.069
Generation=404, Training Error=3.933, Testing Error=2338.085
Generation=405, Training Error=3.824, Testing Error=2338.100
Generation=406, Training Error=3.718, Testing Error=2338.114
Generation=407, Training Error=3.615, Testing Error=2338.129
Generation=408, Training Error=3.515, Testing Error=2338.143
Generation=409, Training Error=3.418, Testing Error=2338.156
Generation=410, Training Error=3.323, Testing Error=2338.169
Generation=411, Training Error=3.231, Testing Error=2338.182
Generation=412, Training Error=3.142, Testing Error=2338.195
Generation=413, Training Error=3.055, Testing Error=2338.207
Generation=414, Training Error=2.970, Testing Error=2338.218
Generation=415, Training Error=2.888, Testing Error=2338.230
Generation=416, Training Error=2.808, Testing Error=2338.241
Generation=417, Training Error=2.730, Testing Error=2338.252
Generation=418, Training Error=2.655, Testing Error=2338.262
Generation=419, Training Error=2.581, Testing Error=2338.273
Generation=420, Training Error=2.510, Testing Error=2338.283
Generation=421, Training Error=2.440, Testing Error=2338.292
Generation=422, Training Error=2.373, Testing Error=2338.302
Generation=423, Training Error=2.307, Testing Error=2338.311
Generation=424, Training Error=2.243, Testing Error=2338.320
Generation=425, Training Error=2.181, Testing Error=2338.328
Generation=426, Training Error=2.120, Testing Error=2338.337
Generation=427, Training Error=2.062, Testing Error=2338.345
Generation=428, Training Error=2.005, Testing Error=2338.353
Generation=429, Training Error=1.949, Testing Error=2338.360
Generation=430, Training Error=1.895, Testing Error=2338.368
Generation=431, Training Error=1.843, Testing Error=2338.375
Generation=432, Training Error=1.792, Testing Error=2338.382
Generation=433, Training Error=1.742, Testing Error=2338.389
Generation=434, Training Error=1.694, Testing Error=2338.396
Generation=435, Training Error=1.647, Testing Error=2338.402
Generation=436, Training Error=1.601, Testing Error=2338.409
Generation=437, Training Error=1.557, Testing Error=2338.415
Generation=438, Training Error=1.514, Testing Error=2338.421
Generation=439, Training Error=1.472, Testing Error=2338.427
Generation=440, Training Error=1.431, Testing Error=2338.432
Generation=441, Training Error=1.392, Testing Error=2338.438
Generation=442, Training Error=1.353, Testing Error=2338.443
Generation=443, Training Error=1.316, Testing Error=2338.449
Generation=444, Training Error=1.279, Testing Error=2338.454
Generation=445, Training Error=1.244, Testing Error=2338.459
Generation=446, Training Error=1.209, Testing Error=2338.463
Generation=447, Training Error=1.176, Testing Error=2338.468
Generation=448, Training Error=1.143, Testing Error=2338.473
Generation=449, Training Error=1.112, Testing Error=2338.477
Generation=450, Training Error=1.081, Testing Error=2338.481
Generation=451, Training Error=1.051, Testing Error=2338.485
Generation=452, Training Error=1.022, Testing Error=2338.489
Generation=453, Training Error=0.993, Testing Error=2338.493
Generation=454, Training Error=0.966, Testing Error=2338.497
Generation=455, Training Error=0.939, Testing Error=2338.501
Generation=456, Training Error=0.913, Testing Error=2338.505
Generation=457, Training Error=0.888, Testing Error=2338.508
Generation=458, Training Error=0.863, Testing Error=2338.511
Generation=459, Training Error=0.839, Testing Error=2338.515
Generation=460, Training Error=0.816, Testing Error=2338.518
Generation=461, Training Error=0.794, Testing Error=2338.521
Generation=462, Training Error=0.772, Testing Error=2338.524
Generation=463, Training Error=0.750, Testing Error=2338.527
Generation=464, Training Error=0.729, Testing Error=2338.530
Generation=465, Training Error=0.709, Testing Error=2338.533
Generation=466, Training Error=0.690, Testing Error=2338.536
Generation=467, Training Error=0.670, Testing Error=2338.538
Generation=468, Training Error=0.652, Testing Error=2338.541
Generation=469, Training Error=0.634, Testing Error=2338.543
Generation=470, Training Error=0.616, Testing Error=2338.546
Generation=471, Training Error=0.599, Testing Error=2338.548
Generation=472, Training Error=0.583, Testing Error=2338.550
Generation=473, Training Error=0.567, Testing Error=2338.553
Generation=474, Training Error=0.551, Testing Error=2338.555
Generation=475, Training Error=0.536, Testing Error=2338.557
Generation=476, Training Error=0.521, Testing Error=2338.559
Generation=477, Training Error=0.506, Testing Error=2338.561
Generation=478, Training Error=0.492, Testing Error=2338.563
Generation=479, Training Error=0.479, Testing Error=2338.565
Generation=480, Training Error=0.465, Testing Error=2338.567
Generation=481, Training Error=0.453, Testing Error=2338.569
Generation=482, Training Error=0.440, Testing Error=2338.570
Generation=483, Training Error=0.428, Testing Error=2338.572
Generation=484, Training Error=0.416, Testing Error=2338.574
Generation=485, Training Error=0.404, Testing Error=2338.575
Generation=486, Training Error=0.393, Testing Error=2338.577
Generation=487, Training Error=0.382, Testing Error=2338.578
Generation=488, Training Error=0.372, Testing Error=2338.580
Generation=489, Training Error=0.361, Testing Error=2338.581
Generation=490, Training Error=0.351, Testing Error=2338.583
Generation=491, Training Error=0.342, Testing Error=2338.584
Generation=492, Training Error=0.332, Testing Error=2338.585
Generation=493, Training Error=0.323, Testing Error=2338.587
Generation=494, Training Error=0.314, Testing Error=2338.588
Generation=495, Training Error=0.305, Testing Error=2338.589
