/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=319, Training Error=-0.021, Testing Error=116.212
Generation=320, Training Error=-0.021, Testing Error=116.212
Generation=321, Training Error=-0.020, Testing Error=116.212
Generation=322, Training Error=-0.020, Testing Error=116.212
Generation=323, Training Error=-0.019, Testing Error=116.212
Generation=324, Training Error=-0.019, Testing Error=116.212
Generation=325, Training Error=-0.018, Testing Error=116.212
Generation=326, Training Error=-0.018, Testing Error=116.212
Generation=327, Training Error=-0.017, Testing Error=116.212
Generation=328, Training Error=-0.017, Testing Error=116.213
Generation=329, Training Error=-0.016, Testing Error=116.213
Generation=330, Training Error=-0.016, Testing Error=116.213
Generation=331, Training Error=-0.015, Testing Error=116.213
Generation=332, Training Error=-0.015, Testing Error=116.213
Generation=333, Training Error=-0.015, Testing Error=116.213
Generation=334, Training Error=-0.014, Testing Error=116.213
Generation=335, Training Error=-0.014, Testing Error=116.213
Generation=336, Training Error=-0.014, Testing Error=116.213
Generation=337, Training Error=-0.013, Testing Error=116.213
Generation=338, Training Error=-0.013, Testing Error=116.213
Generation=339, Training Error=-0.013, Testing Error=116.213
Generation=340, Training Error=-0.012, Testing Error=116.213
Generation=341, Training Error=-0.012, Testing Error=116.213
Generation=342, Training Error=-0.012, Testing Error=116.213
Generation=343, Training Error=-0.012, Testing Error=116.213
Generation=344, Training Error=-0.011, Testing Error=116.213
Generation=345, Training Error=-0.011, Testing Error=116.213
Generation=346, Training Error=-0.011, Testing Error=116.213
Generation=347, Training Error=-0.011, Testing Error=116.213
Generation=348, Training Error=-0.010, Testing Error=116.213
Generation=349, Training Error=-0.010, Testing Error=116.213
Generation=350, Training Error=-0.010, Testing Error=116.213
Generation=351, Training Error=-0.010, Testing Error=116.213
Generation=352, Training Error=-0.010, Testing Error=116.213
Generation=353, Training Error=-0.009, Testing Error=116.213
Generation=354, Training Error=-0.009, Testing Error=116.213
Generation=355, Training Error=-0.009, Testing Error=116.213
Generation=356, Training Error=-0.009, Testing Error=116.213
Generation=357, Training Error=-0.009, Testing Error=116.213
Generation=358, Training Error=-0.009, Testing Error=116.213
Generation=359, Training Error=-0.008, Testing Error=116.213
Generation=360, Training Error=-0.008, Testing Error=116.213
Generation=361, Training Error=-0.008, Testing Error=116.213
Generation=362, Training Error=-0.008, Testing Error=116.213
Generation=363, Training Error=-0.008, Testing Error=116.213
Generation=364, Training Error=-0.008, Testing Error=116.213
Generation=365, Training Error=-0.008, Testing Error=116.213
Generation=366, Training Error=-0.008, Testing Error=116.213
Generation=367, Training Error=-0.007, Testing Error=116.213
Generation=368, Training Error=-0.007, Testing Error=116.213
Generation=369, Training Error=-0.007, Testing Error=116.213
Generation=370, Training Error=-0.007, Testing Error=116.213
Generation=371, Training Error=-0.007, Testing Error=116.213
Generation=372, Training Error=-0.007, Testing Error=116.213
Generation=373, Training Error=-0.007, Testing Error=116.213
Generation=374, Training Error=-0.007, Testing Error=116.213
Generation=375, Training Error=-0.007, Testing Error=116.213
Generation=376, Training Error=-0.007, Testing Error=116.213
Generation=377, Training Error=-0.006, Testing Error=116.213
Generation=378, Training Error=-0.006, Testing Error=116.213
Generation=379, Training Error=-0.006, Testing Error=116.213
Generation=380, Training Error=-0.006, Testing Error=116.213
Generation=381, Training Error=-0.006, Testing Error=116.213
Generation=382, Training Error=-0.006, Testing Error=116.213
Generation=383, Training Error=-0.006, Testing Error=116.213
Generation=384, Training Error=-0.006, Testing Error=116.213
Generation=385, Training Error=-0.006, Testing Error=116.213
Generation=386, Training Error=-0.006, Testing Error=116.213
Generation=387, Training Error=-0.006, Testing Error=116.213
Generation=388, Training Error=-0.006, Testing Error=116.213
Generation=389, Training Error=-0.006, Testing Error=116.213
Generation=390, Training Error=-0.006, Testing Error=116.213
Generation=391, Training Error=-0.006, Testing Error=116.213
Generation=392, Training Error=-0.006, Testing Error=116.213
Generation=393, Training Error=-0.005, Testing Error=116.213
Generation=394, Training Error=-0.005, Testing Error=116.213
Generation=395, Training Error=-0.005, Testing Error=116.213
Generation=396, Training Error=-0.005, Testing Error=116.213
Generation=397, Training Error=-0.005, Testing Error=116.213
Generation=398, Training Error=-0.005, Testing Error=116.213
Generation=399, Training Error=-0.005, Testing Error=116.213
Generation=400, Training Error=-0.005, Testing Error=116.213
Generation=401, Training Error=-0.005, Testing Error=116.213
Generation=402, Training Error=-0.005, Testing Error=116.213
Generation=403, Training Error=-0.005, Testing Error=116.213
Generation=404, Training Error=-0.005, Testing Error=116.213
Generation=405, Training Error=-0.005, Testing Error=116.213
Generation=406, Training Error=-0.005, Testing Error=116.213
Generation=407, Training Error=-0.005, Testing Error=116.213
Generation=408, Training Error=-0.005, Testing Error=116.213
Generation=409, Training Error=-0.005, Testing Error=116.213
Generation=410, Training Error=-0.005, Testing Error=116.213
Generation=411, Training Error=-0.005, Testing Error=116.213
Generation=412, Training Error=-0.005, Testing Error=116.213
Generation=413, Training Error=-0.005, Testing Error=116.213
Generation=414, Training Error=-0.005, Testing Error=116.213
Generation=415, Training Error=-0.005, Testing Error=116.213
Generation=416, Training Error=-0.005, Testing Error=116.213
Generation=417, Training Error=-0.005, Testing Error=116.213
Generation=418, Training Error=-0.005, Testing Error=116.213
Generation=419, Training Error=-0.005, Testing Error=116.213
Generation=420, Training Error=-0.005, Testing Error=116.213
Generation=421, Training Error=-0.005, Testing Error=116.213
Generation=422, Training Error=-0.005, Testing Error=116.213
Generation=423, Training Error=-0.005, Testing Error=116.213
Generation=424, Training Error=-0.005, Testing Error=116.213
Generation=425, Training Error=-0.005, Testing Error=116.213
Generation=426, Training Error=-0.005, Testing Error=116.213
Generation=427, Training Error=-0.005, Testing Error=116.213
Generation=428, Training Error=-0.005, Testing Error=116.213
Generation=429, Training Error=-0.005, Testing Error=116.213
Generation=430, Training Error=-0.005, Testing Error=116.213
Generation=431, Training Error=-0.005, Testing Error=116.213
Generation=432, Training Error=-0.005, Testing Error=116.213
Generation=433, Training Error=-0.004, Testing Error=116.213
Generation=434, Training Error=-0.004, Testing Error=116.213
Generation=435, Training Error=-0.004, Testing Error=116.213
Generation=436, Training Error=-0.004, Testing Error=116.213
Generation=437, Training Error=-0.004, Testing Error=116.213
Generation=438, Training Error=-0.004, Testing Error=116.213
Generation=439, Training Error=-0.004, Testing Error=116.213
